STRNBR,addr:street,APN,STRDIRECT,STRNAME,STRAPART,STRFRACT,BLDSQFTTAXABLE,@lat,@lon,Total Taxable Value
1327,Allston Way,056 199402700,nan,ALLSTON WAY,nan,nan,1002,37.867204,-122.2845568,627503.0
2447,Russell Street,053 169100600,nan,RUSSELL ST,nan,nan,2876,37.8581728,-122.2572557,303554.0
1630,Tenth Street,058 212501400,nan,TENTH ST,nan,nan,1936,37.873937,-122.295217,79612.0
616,The Alameda,062 289300500,nan,THE ALAMEDA,nan,nan,4027,37.8967305,-122.2819772,2410894.0
230,The Uplands,064 425503800,nan,THE UPLANDS,nan,nan,3432,37.8534236,-122.2391358,213356.0
1044,Park Hills Road,063 314005700,nan,PARK HILLS RD,nan,nan,1632,37.8938779,-122.2551157,597090.0
1801,University Avenue,057 206004400,nan,UNIVERSITY AVE,408,nan,1517,37.8715389,-122.2751831,151892.0
1331,Martin Luther King Jr Way,060 244802300,nan,M L KING JR WAY,nan,nan,3238,37.8821553,-122.2739502,145865.0
957,Arlington Avenue,061 257803101,nan,ARLINGTON AVE,nan,nan,2679,37.8913023,-122.2726829,859773.0
2717,Marin Avenue,063 312004700,nan,MARIN AVE,nan,nan,3338,37.8982689,-122.2607468,2020720.0
1619,Harmon Street,052 153503800,nan,HARMON ST,nan,nan,1810,37.8493814,-122.2752057,400442.0
2809,San Pablo Avenue,054 174202700,nan,SAN PABLO AVE,nan,nan,4274,37.8554998,-122.287358,1350000.0
2320,Browning Street,056 192501000,nan,BROWNING ST,nan,nan,1409,37.8642098,-122.2876994,51643.0
2516,Fulton Street,055 182300200,nan,FULTON ST,nan,nan,2184,37.8637349,-122.2653653,475747.0
2415,Blake Street,055 183800700,nan,BLAKE ST,nan,nan,1571,37.864215,-122.2598695,425960.0
1835,Prince Street,053 160101800,nan,PRINCE ST,nan,nan,1937,37.8526403,-122.2714218,49831.0
6031,Chabolyn Terrace,064 425201400,nan,CHABOLYN TER,nan,nan,2370,37.8520393,-122.2438908,1137237.0
2325,Spaulding Avenue,055 191302900,nan,SPAULDING AVE,nan,nan,1136,37.8650466,-122.2800593,810738.0
